#time    potential    pressure    kinect   square_kin
3.01    -21.904    588.598    1354.431    1.834483227e6
3.02    -40.014    358.274    1384.405    1.916576824e6
3.03    -30.478    501.246    1386.578    1.922599933e6
3.04    -14.949    731.383    1370.097    1.877166111e6
3.05    -15.677    749.382    1365.509    1.864614113e6
3.06    -13.949    792.266    1365.252    1.863914221e6
3.07    -9.82    857.516    1360.669    1.85141895e6
3.08    -15.038    790.682    1361.938    1.854874448e6
3.09    -16.977    752.358    1365.445    1.864440251e6
3.1    -26.166    607.863    1369.845    1.876475853e6
3.11    -34.779    466.698    1379.808    1.903870924e6
3.12    -38.03    399.15    1385.15    1.918641707e6
3.13    -39.909    356.311    1387.089    1.924014951e6
3.14    -40.059    342.791    1388.192    1.927077842e6
3.15    -37.945    364.755    1387.115    1.924088022e6
3.16    -31.929    439.977    1383.575    1.914280917e6
3.17    -25.457    516.245    1375.999    1.893374104e6
3.18    -32.216    411.561    1375.72    1.892604871e6
3.19    -40.536    279.986    1384.873    1.917873241e6
3.2    -44.196    209.256    1390.434    1.933307361e6
3.21    -45.486    173.4    1392.431    1.938863255e6
3.22    -46.604    145.847    1393.473    1.941768084e6
3.23    -45.976    150.128    1394.461    1.944522212e6
3.24    -35.431    293.338    1390.834    1.934420352e6
3.25    -13.033    590.271    1373.912    1.887633574e6
3.26    -22.218    469.594    1362.445    1.856255616e6
3.27    -25.511    416.866    1379.278    1.902407219e6
3.28    -26.399    392.1    1369.779    1.876295115e6
3.29    -45.303    138.881    1389.097    1.929591532e6
3.3    -36.983    252.588    1392.876    1.940104376e6
3.31    -9.774    616.78    1373.984    1.887830878e6
3.32    -17.151    521.913    1358.455    1.845401165e6
3.33    -31.724    320.897    1374.094    1.888133981e6
3.34    -37.813    230.822    1383.254    1.913392468e6
3.35    -39.231    208.824    1386.177    1.921485416e6
3.36    -38.671    221.704    1386.625    1.922729025e6
3.37    -30.041    348.993    1384.137    1.915836443e6
3.38    1.153    765.511    1367.056    1.868841812e6
3.39    -6.071    664.361    1342.199    1.801498936e6
3.4    -37.408    232.761    1373.076    1.885338416e6
3.41    -47.851    76.548    1391.532    1.936361803e6
3.42    -46.619    88.255    1394.912    1.945778734e6
3.43    -38.591    199.727    1389.801    1.931546338e6
3.44    -32.762    284.255    1381.268    1.907901637e6
3.45    -37.611    226.1    1380.972    1.907083141e6
3.46    -43.979    146.303    1387.877    1.926201804e6
3.47    -46.378    121.502    1392.107    1.937962235e6
3.48    -46.142    136.526    1392.871    1.940089872e6
3.49    -44.589    173.286    1391.88    1.937328643e6
3.5    -42.171    223.747    1389.878    1.931762121e6
3.51    -39.308    279.813    1387.211    1.92435546e6
3.52    -36.556    331.666    1384.38    1.916509034e6
3.53    -35.17    361.337    1382.115    1.910242997e6
3.54    -36.012    358.588    1382.07    1.91011873e6
3.55    -33.99    392.457    1382.776    1.91206996e6
3.56    -22.82    543.153    1376.813    1.895613372e6
3.57    -19.4    585.513    1366.142    1.866343562e6
3.58    -26.659    479.211    1370.943    1.87948548e6
3.59    -30.396    412.325    1375.825    1.892895624e6
3.6    -33.208    354.765    1378.625    1.900605897e6
3.61    -36.991    282.913    1381.53    1.90862436e6
3.62    -41.632    200.251    1385.934    1.920812143e6
3.63    -44.729    140.873    1389.904    1.931833864e6
3.64    -46.376    105.861    1392.031    1.93774912e6
3.65    -47.543    84.223    1393.405    1.941578378e6
3.66    -46.973    93.915    1394.063    1.943410736e6
3.67    -42.374    165.405    1391.88    1.937330379e6
3.68    -32.51    311.727    1385.031    1.918311873e6
3.69    -22.045    464.031    1373.777    1.887263655e6
3.7    -24.228    444.107    1369.096    1.874424572e6
3.71    -29.359    378.104    1374.589    1.889495106e6
3.72    -31.07    352.728    1377.217    1.896727648e6
3.73    -33.535    315.922    1378.904    1.901376639e6
3.74    -34.762    294.745    1381.324    1.908054952e6
3.75    -31.707    329.066    1380.673    1.906258865e6
3.76    -25.025    405.938    1375.783    1.892780162e6
3.77    -30.585    315.033    1372.272    1.883131456e6
3.78    -45.443    99.693    1386.087    1.921236285e6
3.79    -50.522    19.273    1395.772    1.948179584e6
3.8    -48.382    47.704    1396.628    1.95057012e6
3.81    -40.279    167.078    1391.773    1.937031959e6
3.82    -25.316    380.813    1380.486    1.905740511e6
3.83    -14.164    538.36    1365.194    1.863754034e6
3.84    -16.754    504.207    1362.313    1.855896736e6
3.85    -22.168    421.346    1366.097    1.866220327e6
3.86    -32.909    265.133    1374.743    1.8899188e6
3.87    -37.24    194.429    1383.135    1.913061895e6
3.88    -33.861    229.817    1382.994    1.912672219e6
3.89    -28.824    289.511    1377.918    1.898658168e6
3.9    -30.737    258.244    1375.477    1.891936101e6
3.91    -36.449    179.149    1380.94    1.906996566e6
3.92    -34.542    205.618    1383.704    1.914637669e6
3.93    -21.965    375.625    1376.87    1.895770995e6
3.94    -15.714    459.311    1363.425    1.858928504e6
3.95    -27.544    302.227    1369.863    1.876524222e6
3.96    -29.024    278.634    1377.209    1.896704734e6
3.97    -21.617    371.564    1372.945    1.884978079e6
3.98    -20.159    382.069    1366.801    1.868144232e6
3.99    -26.914    277.656    1370.152    1.877316513e6
4.0    -34.304    161.351    1377.955    1.898760007e6
4.01    -36.891    109.563    1382.992    1.912666523e6
4.02    -35.262    116.296    1383.075    1.912895844e6
4.03    -32.46    139.282    1380.418    1.905552884e6
4.04    -32.55    122.325    1378.536    1.900360634e6
4.05    -36.793    48.818    1381.002    1.907167397e6
4.06    -40.728    -20.165    1385.599    1.919884022e6
4.07    -42.053    -50.955    1388.171    1.927019369e6
4.08    -41.384    -49.914    1388.325    1.927446585e6
4.09    -39.632    -29.008    1387.034    1.923863712e6
4.1    -36.98    8.405    1384.916    1.917992798e6
4.11    -32.847    67.993    1381.682    1.909044293e6
4.12    -28.189    133.858    1376.991    1.89610524e6
4.13    -27.872    139.469    1373.853    1.887472647e6
4.14    -32.727    74.469    1376.722    1.895362613e6
4.15    -36.096    29.404    1381.676    1.9090291e6
4.16    -35.454    40.221    1382.805    1.912150109e6
4.17    -36.262    36.542    1382.053    1.910069396e6
4.18    -38.783    16.21    1384.6    1.917118184e6
4.19    -35.856    73.85    1385.058    1.918386648e6
4.2    -29.752    178.396    1379.528    1.903096354e6
4.21    -26.984    241.971    1375.438    1.891830993e6
4.22    -19.726    361.901    1371.459    1.880900592e6
4.23    -13.408    461.377    1362.601    1.85668183e6
4.24    -20.263    377.44    1362.661    1.856845649e6
4.25    -30.947    235.287    1373.023    1.885192786e6
4.26    -36.644    157.976    1381.314    1.908027219e6
4.27    -37.668    146.197    1384.292    1.916263873e6
4.28    -37.025    161.104    1383.977    1.91539129e6
4.29    -38.14    158.031    1384.032    1.915544486e6
4.3    -38.284    174.293    1385.542    1.919727912e6
4.31    -30.439    302.025    1382.812    1.912168677e6
4.32    -12.89    555.897    1369.817    1.876397754e6
4.33    -6.564    651.123    1354.412    1.834431966e6
4.34    -19.523    479.411    1359.932    1.849414705e6
4.35    -29.216    343.702    1373.211    1.885707746e6
4.36    -27.704    358.197    1377.179    1.89662181e6
4.37    -19.724    461.771    1372.377    1.883419398e6
4.38    -11.967    558.321    1362.769    1.857139611e6
4.39    -26.437    361.684    1368.761    1.873506564e6
4.4    -30.825    295.497    1377.276    1.896888409e6
4.41    -36.339    223.952    1381.09    1.907408455e6
4.42    -34.496    261.591    1384.965    1.918127393e6
4.43    -12.374    571.602    1374.981    1.890573385e6
4.44    3.281    787.565    1348.219    1.817694689e6
4.45    -23.043    442.945    1359.763    1.848954669e6
4.46    -34.104    290.875    1379.325    1.902538466e6
4.47    -34.813    280.873    1382.654    1.911731297e6
4.48    -33.503    303.078    1381.956    1.909801641e6
4.49    -31.917    330.036    1380.121    1.904733093e6
4.5    -32.453    327.035    1379.401    1.902746669e6
4.51    -34.059    306.05    1380.678    1.906271897e6
4.52    -35.53    283.032    1382.129    1.91028046e6
4.53    -37.243    254.796    1383.675    1.914555232e6
4.54    -38.514    233.009    1385.39    1.919305946e6
4.55    -37.651    242.345    1385.803    1.920450707e6
4.56    -34.199    289.929    1383.707    1.914645734e6
4.57    -27.274    385.766    1379.047    1.901769716e6
4.58    -15.063    546.678    1369.833    1.876443223e6
4.59    -9.168    611.292    1358.435    1.845344329e6
4.6    -23.262    398.895    1362.828    1.85730112e6
4.61    -40.359    140.39    1381.232    1.907803003e6
4.62    -44.871    51.459    1391.874    1.937313287e6
4.63    -44.019    41.663    1391.615    1.936592956e6
4.64    -48.594    -30.457    1393.099    1.940724682e6
4.65    -53.042    -90.105    1398.596    1.956071635e6
4.66    -52.411    -66.776    1400.819    1.962292772e6
4.67    -40.623    120.73    1396.599    1.950487626e6
4.68    -5.152    618.817    1375.443    1.891842247e6
4.69    -19.311    465.084    1356.279    1.839492073e6
4.7    -31.88    323.321    1375.287    1.891413984e6
4.71    -27.135    412.304    1377.66    1.897947335e6
4.72    -17.681    565.688    1368.254    1.872119721e6
4.73    -18.565    580.381    1363.681    1.859626109e6
4.74    -20.052    579.143    1367.217    1.869283158e6
4.75    -19.115    598.358    1365.655    1.865012252e6
4.76    -35.598    382.262    1373.18    1.885624222e6
4.77    -46.81    235.795    1389.324    1.930221371e6
4.78    -45.101    269.843    1393.387    1.94152672e6
